	affair_id	affair_type	councillor_id	council	legislative_period	language	affair_title	affair_text	answer
0	20155000	14	173	NR	49	de	Neue Verkehrszulassungsverordnung. Anonymes Denunziantentum wegen angeblicher Fahreignungsmängel	<p>Gemäss geltender Verkehrszulassungsverordnung (VZV) können Privatpersonen unter Anonymitätswahrung irgendwelche Autofahrer wegen Zweifel an deren Fahrtauglichkeit polizeilich verzeigen. Davon wird oft missbräuchlich Gebrauch gemacht, nachgerade gegenüber älteren Fahrern, die sich nicht immer mit höchstzulässiger Geschwindigkeit fortbewegen. Das führt häufig zu amtlich fragwürdig angeordneten Arzt- und Fahrtests.</p><p>- Übernimmt die neue VZV diese Regel undifferenziert, oder wird sie persönlichkeitswürdiger?</p><p>- Wann tritt sie in Kraft?</p>	<p>Meldungen von Privatpersonen, die Zweifel an der Fahreignung einer anderen Person haben, waren schon früher möglich. Am 1. Juli 2014 ist die heute geltende Bestimmung (Art. 30a der Verkehrszulassungsverordnung) in Kraft getreten: Seither gilt schweizweit eine einheitliche Regelung. Neu muss die kantonale Behörde der meldenden Person auf deren Wunsch Vertraulichkeit zusichern. Umgekehrt verlangt die kantonale Behörde regelmässig, dass die meldende Person der Behörde gegenüber ihre Identität offenlegt. Dadurch werden missbräuchliche, anonyme Meldungen im Gegensatz zu früher erschwert und eingeschränkt. Dem Denunziantentum wird somit entgegengewirkt. Der Bundesrat gedenkt deshalb, an der heute geltenden Bestimmung festzuhalten.</p><p>Über die laufende Revision der Verkehrszulassungsverordnung wird er voraussichtlich Mitte 2015 beschliessen. </p>
1	20155001	14	173	NR	49	de	Die Fachstelle für Rassismusbekämpfung beleidigt Albaner in der Schweiz	<p>Die Gesellschaft Schweiz-Albanien sah sich mit Schreiben vom 20. Februar 2015 zu einem Protest gegenüber der Fachstelle für Rassismusbekämpfung (FRB) und deren Bericht über Zusammenleben in der Schweiz 2010-2014 veranlasst. Darin wurden Albaner, Kosovo-Albaner, albanischstämmige Mazedonier und Ex-Jugoslawen in den gleichen Topf geworfen, wie wenn Schweizer, Österreicher und Deutsche undefiniert als Germanen betitelt würden.</p><p>- Hat sich die FRB für diesen verbalen Irrgang entschuldigt?</p><p>- Korrigiert sie in der zweiten Auflage des Berichtes diese Anstössigkeit?</p>	<p>Um zuhanden des Bundesrates ein Monitoring-Instrument zu entwickeln, mit dem rassistische und diskriminierende Tendenzen in der Schweiz langfristig und systematisch erhoben werden können, wurden mit jeweils 1000 Schweizerinnen und Schweizern sowie 700 Ausländerinnen und Ausländern Interviews geführt. Die von der Gesellschaft Schweiz-Albanien angesprochene kritische Darstellung bezieht sich auf eine der gestellten Fragen: Die Befragten wurden gebeten, Gruppen anzugeben, die aus ihrer Sicht das öffentliche Leben in der Schweiz stören bzw. denen man verschiedene soziale Funktionen lieber vorenthalten möchte.</p><p>Während eine Mehrheit keine solche Gruppe nennt, gibt eine Minderheit Ausländer generell, aber auch spezifische Personengruppen an: Unter den explizit genannten Gruppen waren auch Albaner und Personen aus dem Balkan vertreten.</p><p>Der Bundesrat teilt Ihre Ansicht, dass es wichtig ist, dass wir im politischen Diskurs darauf achten, keine pauschalisierenden, stigmatisierenden oder ausgrenzenden Diskurse zu führen.</p><p>Im vorliegenden Fall haben sowohl die FRB als auch das GFS Bern selbst keine Pauschalisierungen vorgenommen, sondern festgestellt, dass solche in der Bevölkerung bestehen. Die Fachstelle für Rassismusbekämpfung wird sicherstellen, dass in Zukunft bei der Kommunikation von Befragungsergebnissen noch besser differenziert wird. Sie kann hingegen nicht verhindern, dass in Berichten zu diskriminierenden Einstellungen die in der Bevölkerung bestehenden Pauschalisierungen aufgezeigt werden.</p>
2	20155002	14	173	NR	49	de	"Nationale Konferenz ""Alter und Arbeit"". Nur Vertreter der Classe politique, aber keine Direktbetroffenen?"	<p>An der vom Seco auf 27. April 2015 angesetzten Konferenz Alter und Arbeit ist die Classe politique (Bund, Kantone, Arbeitgeber- und Arbeitnehmerorganisationen) unter sich. Ein Teilnahmegesuch der schweizerischen Institution 50 plus out Iin work, die sich spezifisch älterer Arbeitsloser annimmt, wurde vom WBF-Vorsteher abgelehnt.</p><p>- Hat der Bundesrat bereits vergessen, dass gerade dieses Segment des Schweizervolkes der Masseneinwanderungs-Initiative samt Inländervorrang am 9. Februar 2014 klar zugestimmt hat?</p><p>- Warum diese Brüskierung Direktbetroffener?</p>	<p>Mit der Annahme des Postulates Rechsteiner Paul 14.3569 hat das Parlament den Bundesrat beauftragt, eine Nationale Konferenz zum Thema ältere Arbeitnehmer durchzuführen. Das Postulat schlägt vor, die Konferenz nach dem Modell der Lehrstellenkonferenz zu gestalten. Die Sozialpartner, welche das Postulat breit unterstützen, wünschen, dieses Konzept auch für die nationale Konferenz zum Thema ältere Arbeitnehmer anzuwenden. Dieses Format hat sich bewährt, um sich in kurzer Frist auf konkrete Massnahmen zu einigen. Entsprechend wird die Konferenz geschlossen und mit beschränkter Teilnehmerzahl stattfinden.</p><p>Der Einbezug der Betroffenen bleibt dem WBF wichtig und ist auf zwei Wegen vorgesehen. Zum einen haben die Sozialpartner betont, dass ältere Mitarbeiter und Arbeitsuchende durch sie vertreten werden. Zusätzlich wird der Chef des WBF im Vorfeld der Konferenz betroffene Personen und Organisationen, welche sich spezifisch Fragen älterer Arbeitnehmer annehmen, für ein Gespräch empfangen. Im zweiten Teil des Treffens werden die Anliegen der Betroffenen vom Staatssekretariat für Wirtschaft in die Detailvorbereitung des Anlasses von Ende April aufgenommen. Damit wird sichergestellt, dass die Anliegen von älteren Arbeitnehmern umfassend in die Diskussion an der Konferenz eingebracht werden.</p>
3	20155003	14	4074	NR	49	de	Starker Franken. Druck auf Arbeitnehmerinnen und Arbeitnehmer	<p>Seit der Aufhebung des Mindestkurses durch die Schweizerische Nationalbank lassen mehrere Ankündigungen durchblicken, dass gewisse soziale Errungenschaften infrage gestellt werden könnten. Im Versuch, die Wettbewerbsfähigkeit der durch die neuen monetären Bedingungen in Schwierigkeiten geratenen Unternehmen aufrechtzuerhalten, werden insbesondere Eurolöhne für die Grenzgängerinnen und Grenzgänger oder Lohndruck zum Thema.</p><p>- Wie beurteilt der Bundesrat solche Ankündigungen?</p><p>- Wie gedenkt er darauf zu reagieren?</p>	<p>Die Antwort des Bundesrates existiert nur in französischer Sprache.</p>
4	20155004	14	4074	NR	49	de	Starker Franken. Krise in der Holzwirtschaft	<p>Die Aufhebung des Mindestkurses durch die Schweizerische Nationalbank hat die Holzwirtschaft in Schwierigkeiten gebracht.</p><p>- Wird der Bundesrat zur Unterstützung dieses Sektors, der auch zahlreiche Arbeitsplätze sichert, schnell konkrete Massnahmen ergreifen?</p><p>- Beispielsweise durch gezielte Finanzhilfen oder durch gesetzliche Anpassungen, mit denen die Holztransportkosten, die für die ganze Branche eine Belastung darstellen, reduziert werden?</p>	<p>Die Antwort des Bundesrates existiert nur in französischer Sprache.</p>
5	20155005	14	4074	NR	49	de	Rückzug des Medikamentes Perjeta	<p>Das Medikament Perjeta (Pertuzumab) wird zur Behandlung von metastasierendem Brustkrebs verwendet. In besonders schweren Fällen stellt es oft die letzte Hoffnung dar. Dieses Medikament, das in der Spezialitätenliste war, wurde ohne Erklärung vom Hersteller zurückgezogen - sehr zum Leidwesen der Krebsmedizinerinnen und -mediziner, die es für ganz bestimmte Indikationen benötigen: Ob sie es verschreiben können, hängt nun vom guten Willen der Krankenkasse der Patientinnen ab.</p><p>Wie beurteilt der Bundesrat diese Praktiken?</p>	<p>Die Antwort des Bundesrates existiert nur in französischer Sprache.</p>
6	20155006	14	3876	NR	49	de	Präsenz Schweiz	<p>Der Bundesrat wird gebeten, in Zusammenhang mit Präsenz Schweiz folgende Fragen zu beantworten:</p><p>- Wie hat sich das Gesamtbudget (inklusive Zusatzkredite, Spezialkredite, Löhne usw.) in den letzten zehn Jahren verändert?</p><p>- Wie hat sich die Personalsituation (inklusive versetzbaren Personals, Mitarbeitender, befristeter/projektbezogener Mitarbeiter und externer Mitarbeiter) in den letzten zehn Jahren entwickelt?</p>	<p>Die Antwort des Bundesrates existiert nur in französischer Sprache.</p>
7	20155007	14	4140	NR	49	de	Höchstwasserstand des Langensees. Erneute Abweichung vom Abkommen zwischen der Schweiz und Italien?	<p>Wie es scheint, will das Consorzio del Ticino (dem keine Vertretung des Kantons Tessin angehört) im Sommer 2015 erneut vom Höchstpegel des Langensees abweichen, der im Abkommen zwischen der Schweiz und Italien auf 1 Meter über dem Pegelnullpunkt (= 194,01 Meter über Meer) festgelegt wurde. Schon im Sommer 2013 überschritt der Pegel, der mit der Miorina-Wehr reguliert wird, den Nullpunkt um 1,50 Meter, im Sommer 2014 waren es 1,25 Meter. Diese Pegelstände schadeten dem Tourismus (Hotels und Campingplätze), da die Sandstrände verkleinert wurden und dort, wo das Wasser über die Ufer trat, erhebliche Schäden entstanden.</p><p>Was gedenkt der Bundesrat zu unternehmen?</p>	<p>Die Antwort des Bundesrates existiert nur in italienischer Sprache.</p>
8	20155008	14	4085	NR	49	de	Einführung von biometrischen Visa für chinesische Touristen. Nachteile für den Schweizer Tourismus	<p>Ab 20. November 2015 sollen Gäste aus China nur noch mit einem biometrischen Visum in die Schweiz einreisen können. Die Anträge müssen persönlich bei einer der nur drei Schweizer Vertretungen gestellt werden. Es ist zu befürchten, dass künftig nur noch Personen am Ort der Vertretungen oder in deren Umgebung Visa für einen touristischen Aufenthalt in der Schweiz beantragen.</p><p>- Wie beurteilt der Bundesrat diese Situation?</p><p>- Ist er bereit, Lösungen zu suchen, damit der Tourismus nicht weitere Nachteile erfährt?</p>	<p>Die Antwort des Bundesrates existiert nur in französischer Sprache.</p>
9	20155009	14	4115	NR	49	de	Wird die Schweiz vor ein geheimes Schiedsgericht gezerrt?	<p>Die Online-Ausgabe des Tages-Anzeigers (abgerufen am 21. Februar) berichtet, unser Land werde von einem geheimen Schiedsgericht vorgeladen:</p><p>1. Kann der Bundesrat diese Information bestätigen?</p><p>2. Wer greift die Schweiz vor diesem Schiedsgericht an?</p><p>3. Was sind die Gründe dafür?</p><p>4. Welcher Höchstbetrag könnte unserem Land auferlegt werden (Schadenersatz, Kosten, Parteientschädigung usw.)?</p><p>5. Wurden diese Beträge budgetiert? Wenn nicht, wie werden sie kompensiert?</p><p>6. Könnte das Abkommen über den Handel mit Dienstleistungen (Tisa) zu ähnlichen Prozessen führen?</p>	
